,S_1_COMID,S_1_unitarea,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1530,35037403,35.491965225344686,66.01125598244052,177.32756832359652,34,66.01125598244052,177.32756832359652,34,35491957.85356643,34,89270.0,66.0,177.25,316435055.5143934,89270,34624877.68764116,0.9755696721634041,0.10942175048006401,0.9755696721634041,0.10942175048006395
1529,35037403,35.491965225344686,66.01125598244052,177.32756832359652,34,66.01125598244052,177.32756832359652,34,35491957.85356643,34,89271.0,66.0,177.5,316435055.5143934,89271,867080.1659252769,0.024430327836596027,0.00274015204957542,0.024430327836596027,0.0027401520495754198
1532,35046183,57.73173607416362,64.23638532856218,175.65721519193235,35,64.23638532856218,175.65721519193235,35,57731727.30183376,35,99344.0,64.25,175.75,337885902.706482,99344,38482015.88065156,0.6665661617824007,0.11389056356719474,0.6665661617823992,0.11389056356719474
1533,35046183,57.73173607416362,64.23638532856218,175.65721519193235,35,64.23638532856218,175.65721519193235,35,57731727.30183376,35,99343.0,64.25,175.5,337885902.7064298,99343,19249711.421182323,0.3334338382176014,0.05697104042220821,0.3334338382176007,0.05697104042220818
1535,35006922,43.17111334401171,71.18955280218843,181.27167856681302,36,71.18955280218843,181.27167856681302,36,43171184.20280868,36,57605.0,71.25,-179.0,250284379.84171087,57605,50284.75414142346,0.0011647758816435705,0.0002009104770070965,0.0011647758816435705,0.00020091047700709645
1534,35006922,43.17111334401171,71.18955280218843,181.27167856681302,36,71.18955280218843,181.27167856681302,36,43171184.20280868,36,57607.0,71.25,-178.5,250284379.84167224,57607,403986.6187914108,0.009357784046265005,0.0016141103933332527,0.009357784046265005,0.001614110393333254
1536,35006922,43.17111334401171,71.18955280218843,181.27167856681302,36,71.18955280218843,181.27167856681302,36,43171184.20280868,36,57606.0,71.25,-178.75,250284379.84167224,57606,42716912.82987584,0.9894774400720914,0.17067350690002386,0.9894774400720914,0.170673506900024
1539,35006921,65.24515279975759,71.20620295612784,181.48664769248288,37,71.20620295612784,181.48664769248288,37,65245179.581859805,37,57606.0,71.25,-178.75,250284379.84167224,57606,2257438.8044730234,0.03459931935110593,0.009019495367234103,0.03459931935110593,0.00901949536723411
1538,35006921,65.24515279975759,71.20620295612784,181.48664769248288,37,71.20620295612784,181.48664769248288,37,65245179.581859805,37,57607.0,71.25,-178.5,250284379.84167224,57607,62987740.77738678,0.9654006806488941,0.2516646896511571,0.9654006806488941,0.25166468965115735
1542,35052677,27.337449681825124,62.52472675803087,178.8991192836663,38,62.52472675803087,178.8991192836663,38,27337451.597569346,38,109436.0,62.5,178.75,359002578.4682683,109436,10549024.488317989,0.3858817801896331,0.029384258278385603,0.3858817801896336,0.034007376577111156
1543,35052677,27.337449681825124,62.52472675803087,178.8991192836663,38,62.52472675803087,178.8991192836663,38,27337451.597569346,38,109437.0,62.5,179.0,359002578.4683237,109437,16788427.109251324,0.6141182198103656,0.04676408504049961,0.6141182198103664,0.04988603183950112
1546,35006920,100.80710102698308,71.1985872240968,181.02159574320928,39,71.1985872240968,181.02159574320928,39,100807087.34472275,39,57604.0,71.25,-179.25,250284379.84167224,57604,10039658.187693514,0.09959278114406397,0.04011300343251351,0.09959278114406393,0.040113003432513505
1544,35006920,100.80710102698308,71.1985872240968,181.02159574320928,39,71.1985872240968,181.02159574320928,39,100807087.34472275,39,57605.0,71.25,-179.0,250284379.84171087,57605,66984812.64116498,0.664485150851565,0.26763481078415147,0.6644851508515647,0.2676348107841514
1545,35006920,100.80710102698308,71.1985872240968,181.02159574320928,39,71.1985872240968,181.02159574320928,39,100807087.34472275,39,57606.0,71.25,-178.75,250284379.84167224,57606,23782616.515864287,0.23592206800437138,0.09502237627018101,0.23592206800437127,0.09502237627018108
1549,35002451,112.73538771539486,69.48079189637397,177.4919228631616,40,69.48079189637397,177.4919228631616,40,112735390.08890286,40,69111.0,69.5,177.5,272613164.4705422,69111,106589447.34798768,0.9454834658746601,0.3909915632834578,0.9454834658746599,0.5018036646545357
1550,35002451,112.73538771539486,69.48079189637397,177.4919228631616,40,69.48079189637397,177.4919228631616,40,112735390.08890286,40,69112.0,69.5,177.75,272613164.4705843,69112,2721515.233521014,0.02414073549907295,0.009983066073886073,0.024140735499072943,0.017812982138544663
1551,35002451,112.73538771539486,69.48079189637397,177.4919228631616,40,69.48079189637397,177.4919228631616,40,112735390.08890286,40,69110.0,69.5,177.25,272613164.4705422,69110,3424427.5073941955,0.030375798626267228,0.012561489882724389,0.03037579862626722,0.016262409949225
1554,35037396,27.51582291803522,66.0163424211467,177.42483548291003,41,66.0163424211467,177.42483548291003,41,27515825.766845018,41,89270.0,66.0,177.25,316435055.5143934,89270,2390357.384488281,0.08687209334522403,0.007554022042856604,0.08687209334522426,0.007554022042856599
1553,35037396,27.51582291803522,66.0163424211467,177.42483548291003,41,66.0163424211467,177.42483548291003,41,27515825.766845018,41,89271.0,66.0,177.5,316435055.5143934,89271,25125468.382356662,0.9131279066547733,0.07940165902767307,0.9131279066547757,0.07940165902767306
1557,35037395,35.38021915907008,65.99290465540086,182.15392437044412,42,65.99290465540086,182.15392437044412,42,35380228.283794366,42,87850.0,66.0,-177.75,316435055.51444227,87850,27078593.666048646,0.7653594953894569,0.08557393750836423,0.7653594953894566,0.08557393750836423
1556,35037395,35.38021915907008,65.99290465540086,182.15392437044412,42,65.99290465540086,182.15392437044412,42,35380228.283794366,42,87849.0,66.0,-178.0,316435055.5143934,87849,8301634.6177457385,0.23464050461054364,0.026234876550737057,0.23464050461054353,0.026234876550737057
1559,35052673,43.4638372139629,62.49135392759883,175.5006571498518,43,62.49135392759883,175.5006571498518,43,43463831.60303675,43,109423.0,62.5,175.5,359002578.4682683,109423,43463831.60303675,1.0,0.12106829925423071,1.0,0.12106829925423074
1562,35016149,111.16020666610106,69.48523500486282,176.6685511138986,44,69.48523500486282,176.6685511138986,44,111160178.10886407,44,69107.0,69.5,176.5,272613164.4705843,69107,35370237.61144085,0.3181916241336103,0.12974515621844593,0.31819162413361085,0.12974515621844593
1561,35016149,111.16020666610106,69.48523500486282,176.6685511138986,44,69.48523500486282,176.6685511138986,44,111160178.10886407,44,69108.0,69.5,176.75,272613164.4705422,69108,75789940.49742301,0.6818083758663879,0.2780127681824135,0.6818083758663891,0.27864617240436446
1565,35037391,30.114008924128466,66.0090447012139,181.41051441409923,45,66.0090447012139,181.41051441409923,45,30114007.202134594,45,87847.0,66.0,-178.5,316435055.5143934,87847,26273202.23313563,0.8724578584570866,0.08302873457059363,0.8724578584570872,0.099075393259964
1564,35037391,30.114008924128466,66.0090447012139,181.41051441409923,45,66.0090447012139,181.41051441409923,45,30114007.202134594,45,87846.0,66.0,-178.75,316435055.5143934,87846,3840804.9689989416,0.12754214154291266,0.012137735380662458,0.12754214154291277,0.045672546837528194
1567,35017530,47.649814582217,65.98016990351017,183.07021254861422,46,65.98016990351017,183.07021254861422,46,47649810.87654885,46,87854.0,66.0,-176.75,316435055.5143934,87854,11357695.010585058,0.238357609435441,0.03589265731675055,0.23835760943544088,0.035892657316750565
1568,35017530,47.649814582217,65.98016990351017,183.07021254861422,46,65.98016990351017,183.07021254861422,46,47649810.87654885,46,87853.0,66.0,-177.0,316435055.5143934,87853,36292115.86596382,0.7616423905645595,0.11469056677986497,0.7616423905645592,0.11469056677986497
1570,35046174,62.1843312764005,64.23061739769629,175.52419843523458,47,64.23061739769629,175.52419843523458,47,62184375.38722388,47,99344.0,64.25,175.75,337885902.706482,99344,3963847.0283885137,0.06374345651468757,0.011731318165800681,0.06374345651468752,0.011731318165800681
1571,35046174,62.1843312764005,64.23061739769629,175.52419843523458,47,64.23061739769629,175.52419843523458,47,62184375.38722388,47,99343.0,64.25,175.5,337885902.7064298,99343,58220528.358835414,0.9362565434853133,0.17230824930100735,0.9362565434853125,0.17230824930100724
1573,35046173,65.20772228115464,64.22141403953661,178.27096151998907,48,64.22141403953661,178.27096151998907,48,65207725.501107246,48,99354.0,64.25,178.25,337885902.706482,99354,65207725.501107246,1.0,0.1929874107762126,1.0,0.44225759072032556
1576,35052668,30.788702280548762,62.51339117672456,176.3152761590263,49,62.51339117672456,176.3152761590263,49,30788690.906596787,49,109427.0,62.5,176.5,359002578.4683237,109427,517659.9855750736,0.016813315874503767,0.001441939464010699,0.016813315874503763,0.0018530712876523312
1575,35052668,30.788702280548762,62.51339117672456,176.3152761590263,49,62.51339117672456,176.3152761590263,49,30788690.906596787,49,109426.0,62.5,176.25,359002578.4682683,109426,30271030.921021722,0.9831866841254965,0.08431981477731179,0.9831866841254963,0.0875677065259218
1578,35016144,40.37868193232698,69.45551254103098,176.85348962640037,50,69.45551254103098,176.85348962640037,50,40378677.74666891,50,69108.0,69.5,176.75,272613164.4705422,69108,27976046.22172477,0.6928420588024997,0.10262177278217165,0.6928420588025013,0.10285557882125856
1579,35016144,40.37868193232698,69.45551254103098,176.85348962640037,50,69.45551254103098,176.85348962640037,50,40378677.74666891,50,69109.0,69.5,177.0,272613164.4705422,69109,12402631.524944052,0.307157941197498,0.04549535070704278,0.3071579411974987,0.052385256214332133
1581,35006904,33.3306193142461,71.20207713003241,179.32262880562092,51,71.20207713003241,179.32262880562092,51,33330600.533795297,51,59038.0,71.25,179.25,250284379.8416722,59038,28887786.470638715,0.8667046500211772,0.11541985356382561,0.8667046500211775,0.24030043941260362
1580,35006904,33.3306193142461,71.20207713003241,179.32262880562092,51,71.20207713003241,179.32262880562092,51,33330600.533795297,51,59039.0,71.25,179.5,250284379.84167224,59039,4442814.063156575,0.13329534997882259,0.0177510640734634,0.1332953499788226,0.018515419358227043
1584,35027242,33.395113654257514,67.71367119992146,178.49759868421054,52,67.71367119992146,178.49759868421054,52,33395102.291283596,52,79195.0,67.75,178.5,294670503.8072473,79195,33395102.291283596,1.0,0.11333031932211418,1.0,0.11333031932211421
1587,35037384,66.916583592587,65.98612220937159,178.69690367294035,53,65.98612220937159,178.69690367294035,53,66916573.08960463,53,89276.0,66.0,178.75,316435055.5143934,89276,49626524.2445274,0.7416178377526148,0.1568300457857144,0.7416178377526159,0.15683004578571452
1586,35037384,66.916583592587,65.98612220937159,178.69690367294035,53,65.98612220937159,178.69690367294035,53,66916573.08960463,53,89275.0,66.0,178.5,316435055.5143934,89275,17290048.845077135,0.2583821622473837,0.05464011822890678,0.2583821622473841,0.054640118228906756
1589,35006901,26.269186139994964,71.17921359257676,180.3362008606034,54,71.17921359257676,180.3362008606034,54,26269181.05429433,54,57603.0,71.25,-179.5,250284379.8416722,57603,6710261.960764329,0.2554423735896165,0.026810550322833505,0.2554423735896166,0.02681055032283351
1588,35006901,26.269186139994964,71.17921359257676,180.3362008606034,54,71.17921359257676,180.3362008606034,54,26269181.05429433,54,57602.0,71.25,-179.75,250284379.8416722,57602,19558919.093529996,0.7445576264103833,0.07814678289513234,0.7445576264103834,0.07814678289513236
1593,35037381,32.203163324620434,65.96590393936086,182.39224463394206,55,65.96590393936086,182.39224463394206,55,32203163.489589453,55,87850.0,66.0,-177.75,316435055.51444227,87850,13478099.908916973,0.4185334125100515,0.04259357385990322,0.4185334125100514,0.04259357385990322
1592,35037381,32.203163324620434,65.96590393936086,182.39224463394206,55,65.96590393936086,182.39224463394206,55,32203163.489589453,55,87851.0,66.0,-177.5,316435055.5143934,87851,18725063.580672488,0.5814665874899487,0.059175060583073605,0.5814665874899486,0.05917506058307362
1596,35016134,28.03320678482662,69.4421849042976,176.63678494041181,56,69.4421849042976,176.63678494041181,56,28033207.753011752,56,69107.0,69.5,176.5,272613164.4705843,69107,11324444.139064802,0.4039653342150314,0.04154034219534817,0.40396533421503106,0.04154034219534817
1595,35016134,28.03320678482662,69.4421849042976,176.63678494041181,56,69.4421849042976,176.63678494041181,56,28033207.753011752,56,69108.0,69.5,176.75,272613164.4705422,69108,16708763.613946978,0.5960346657849696,0.06129111059767798,0.596034665784969,0.06143075183960525
